idx;date;rubro;subrubro;detalle;BANCIEN S.A;BANCAMIA;BANCO W S.A.;BANCOOMEVA;BANCO FALABELLA S.A.;BANCO PICHINCHA S.A.;BANCO MUNDO MUJER S.A.;LULO BANK S.A.
81;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;MEJORAS EN PROPIEDADES AJENAS;0;3124.51;344.78;0;3747.75;0;6020.5;2246.19
82;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;PROPIEDADES PLANTA Y EQUIPO NO EXPLOTADOS;0;0;0;0;0;0;0;0
83;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;OTRAS PROPIEDADES Y EQUIPO;0;0;0;0;0;0;0;0
84;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;CONSTRUCCIONES EN CURSO;0;0;0;0;0;0;0;0
85;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;BIENES TERMINADOS;0;0;0;0;0;0;0;0
86;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;PROPIEDADES DE INVERSIÓN;0;0;0;0;0;0;0;0
87;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;PLUSVALÍA;0;31314.38;168276.79;0;0;0;0;0
88;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;OTROS;0;60157.9;35922.05;39763.1;127791.43;30422.28;23140.29;104753.1
89;2021-12-31 00:00:00;PASIVOS  Y PATRIMONIO;0;0;0;2056792.57;2179116.24;4814725.69;6351326.63;3158147.44;2319961.89;156363.68
90;2021-12-31 00:00:00;PASIVOS;0;0;0;1612336.07;1616547.94;4234443.64;5649825.67;2788458.13;1903097.62;9547.85
91;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;0;0;938863.82;1377815.23;4013592.17;4775971.73;2328727.27;1534278.72;94.81
92;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;DEPÓSITOS EN CUENTA CORRIENTE;0;0;0;193862.71;23005.17;144844.65;0;0
93;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;DEPÓSITOS SIMPLES;0;0;0;0;0;0;0;0
94;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;CERTIFICADOS DE DEPÓSITO A TERMINO;0;584822.31;597842.82;1873160.4;2991245.26;1237479.66;992135.35;0
95;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;DEPÓSITOS DE AHORRO;0;176671.3;301732.63;1175894.93;1264062.34;623480.67;237757;94.81
96;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;CUENTAS DE AHORRO ESPECIAL;0;0;0;36377.74;0;0;0;0
97;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;CERTIFICADOS DE AHORRO DE VALOR REAL;0;0;0;0;0;0;0;0
98;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;DOCUMENTOS POR PAGAR;0;0;0;0;0;0;0;0
99;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;FONDOS EN FIDEICOMISO Y CUENTAS ESPECIALES;0;0;0;0;0;0;0;0
100;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;BANCOS Y CORRESPONSALES;0;0;0;0;0;0;0;0
101;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;DEPÓSITOS ESPECIALES;0;0;0;0;0;0;2899.15;0
102;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;EXIGIBILIDADES POR SERVICIOS;0;14865.85;13435.42;65902.15;15546.5;24890.53;0;0
103;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;SERVICIOS DE RECAUDO;0;0;0;0;0;0;0;0
104;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;ESTABLECIMIENTOS AFILIADOS;0;0;0;0;35948.67;0;0;0
105;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;DEPÓSITOS ELECTRÓNICOS;0;41837.69;3531.1;80.46;0;0;0;0
106;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;FONDOS INTERBANCARIOS COMPRADOS ORDINARIOS;0;0;0;0;0;0;0;0
107;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;OPERACIONES DE REPORTO O REPO;0;0;0;50544.81;445169.87;298031.76;0;0
108;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;OPERACIONES SIMULTÁNEAS;0;0;0;0;0;0;0;0
109;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES;0;0;0;0;0;0;0;0
110;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;COMPROMISOS ORIGINADOS EN POSICIONES EN CORTO;0;0;0;0;0;0;0;0
111;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;TÍTULOS DE INVERSIÓN EN CIRCULACIÓN;0;120019.54;461273.26;617764.19;0;0;300971.61;0
112;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;CUENTAS CANCELADAS;0;647.13;0;4.78;993.92;0;515.61;0
